game_id,team_id,a_team_id,spread1,spread2,price1,price2
21001160,1610612744,1610612757,10.0,-10.0,-105.0,-105.0
21001161,1610612762,1610612747,14.0,-14.0,-105.0,-105.0
21001162,1610612753,1610612766,-6.0,7.0,-110.0,-108.0
21001163,1610612764,1610612754,12.0,-12.0,-110.0,-110.0
21001164,1610612749,1610612748,9.0,-8.5,-104.0,-102.0
21001165,1610612752,1610612755,5.0,-5.0,-110.0,-110.0
21001166,1610612739,1610612761,5.5,-5.5,-110.0,-110.0
21001167,1610612751,1610612765,7.5,-7.5,-107.0,-103.0
21001168,1610612756,1610612750,-4.5,4.5,-105.0,-105.0
21001169,1610612745,1610612740,3.0,-3.0,-109.0,-101.0
21001170,1610612746,1610612760,10.5,-10.5,-108.0,-102.0
21001171,1610612758,1610612759,10.5,-10.5,-108.0,-102.0
21001172,1610612743,1610612742,4.0,-4.0,-102.0,-108.0
21001173,1610612747,1610612744,-6.0,5.5,-105.0,-102.0
21001174,1610612738,1610612741,4.5,-4.5,-102.0,-118.0
21001175,1610612757,1610612762,-4.5,4.5,-117.0,-103.0
21001176,1610612737,1610612754,5.5,-6.0,-110.0,-110.0
21001177,1610612752,1610612751,-5.0,5.0,-104.0,-110.0
21001178,1610612761,1610612755,11.0,-11.0,-102.0,-108.0
21001179,1610612764,1610612738,13.0,-13.0,-102.0,-108.0
21001180,1610612741,1610612739,-9.0,9.0,-110.0,-102.0
21001181,1610612749,1610612765,-1.0,1.0,-105.0,-106.0
21001182,1610612766,1610612748,14.0,-14.0,-105.0,-105.0
21001183,1610612758,1610612763,9.5,-9.5,-105.0,-105.0
21001184,1610612756,1610612740,5.5,-6.0,-110.0,-105.0
21001185,1610612743,1610612760,4.0,-4.0,-102.0,-108.0
21001186,1610612746,1610612742,8.0,-8.0,-102.0,-108.0
21001187,1610612747,1610612757,-3.0,3.0,-102.0,-108.0
21001188,1610612737,1610612764,-2.5,2.5,-102.0,-107.0
21001189,1610612746,1610612745,8.0,-8.0,-105.0,-105.0
21001190,1610612739,1610612749,9.0,-9.0,-107.0,-103.0
21001191,1610612762,1610612759,10.0,-9.5,-109.0,-108.0
21001192,1610612750,1610612743,13.0,-13.5,-105.0,-110.0
21001193,1610612741,1610612753,-6.5,6.0,-103.0,-102.0
21001194,1610612738,1610612748,5.5,-5.5,-103.0,-117.0
21001195,1610612765,1610612766,-1.0,1.0,-107.0,-105.0
21001196,1610612751,1610612761,6.0,-6.0,-110.0,-110.0
21001197,1610612740,1610612763,4.5,-4.5,-105.0,-108.0
21001198,1610612752,1610612754,3.0,-2.5,-105.0,-106.0
21001199,1610612756,1610612742,10.0,-9.0,-110.0,-102.0
21001200,1610612758,1610612744,6.0,-6.0,-105.0,-105.0
21001201,1610612760,1610612747,5.0,-5.0,-103.0,-107.0
21001202,1610612748,1610612737,-6.5,6.5,-103.0,-107.0
21001203,1610612766,1610612751,2.0,-2.0,-105.0,-105.0
21001204,1610612753,1610612755,2.0,-2.0,-105.0,-105.0
21001205,1610612738,1610612764,-1.0,6.5,-108.0,-104.0
21001206,1610612739,1610612765,7.0,-7.0,-108.0,-102.0
21001207,1610612761,1610612749,9.5,-9.5,-103.0,-107.0
21001208,1610612762,1610612740,6.5,-6.5,-105.0,-105.0
21001209,1610612742,1610612745,-3.5,3.5,-105.0,-105.0
21001210,1610612744,1610612743,12.5,-12.5,-108.0,-102.0
21001211,1610612750,1610612756,9.0,-9.0,-107.0,-103.0
21001212,1610612760,1610612758,-6.5,6.5,-107.0,-103.0
21001213,1610612741,1610612752,-6.0,6.5,-118.0,-108.0
21001214,1610612763,1610612757,6.5,-6.5,-105.0,-105.0
21001215,1610612759,1610612747,12.0,-12.0,-110.0,-110.0
21001216,1610612752,1610612738,3.0,-2.0,-102.0,-110.0
21001217,1610612737,1610612766,1.5,-1.5,-102.0,-108.0
21001218,1610612764,1610612739,5.0,-5.0,-103.0,-107.0
21001219,1610612754,1610612753,2.0,-3.5,-110.0,-103.0
21001220,1610612765,1610612755,4.5,-4.5,-102.0,-108.0
21001221,1610612748,1610612761,4.5,-4.5,-110.0,-110.0
21001222,1610612751,1610612741,15.0,-14.5,-110.0,-105.0
21001223,1610612740,1610612742,10.5,-10.5,-103.0,-107.0
21001224,1610612745,1610612750,-5.5,5.5,-105.0,-105.0
21001225,1610612749,1610612760,10.0,-10.5,-105.0,-108.0
21001226,1610612743,1610612762,5.0,-5.0,-101.0,-109.0
21001227,1610612757,1610612744,4.0,-5.0,-105.0,-108.0
21001228,1610612763,1610612746,8.0,-8.0,-108.0,-102.0
21001229,1610612759,1610612756,-3.5,3.5,-108.0,-102.0
21001230,1610612747,1610612758,-4.0,3.5,-105.0,-101.0
41000101,1610612754,1610612741,12.0,-12.0,-108.0,-102.0
41000111,1610612755,1610612748,10.5,-10.5,-104.0,-106.0
41000131,1610612737,1610612753,9.0,-9.0,-108.0,-102.0
41000161,1610612757,1610612742,5.0,-5.0,-105.0,-105.0
41000121,1610612752,1610612738,6.0,-6.0,-105.0,-105.0
41000141,1610612763,1610612759,6.5,-6.5,-104.0,-106.0
41000151,1610612740,1610612747,11.0,-11.0,-105.0,-105.0
41000171,1610612743,1610612760,6.0,-5.5,-105.0,-108.0
41000102,1610612754,1610612741,11.0,-11.0,-104.0,-106.0
41000112,1610612755,1610612748,9.0,-9.0,-102.0,-108.0
41000122,1610612752,1610612738,6.5,-6.5,-107.0,-103.0
41000132,1610612737,1610612753,8.5,-8.5,-103.0,-117.0
41000162,1610612757,1610612742,3.5,-3.5,-110.0,-110.0
41000142,1610612763,1610612759,8.0,-8.0,-105.0,-105.0
41000152,1610612740,1610612747,11.5,-11.5,-105.0,-110.0
41000172,1610612743,1610612760,4.5,-4.5,-107.0,-103.0
41000103,1610612741,1610612754,-3.5,3.5,-106.0,-104.0
41000113,1610612748,1610612755,-4.5,4.5,-105.0,-105.0
41000163,1610612742,1610612757,5.5,-5.5,-108.0,-102.0
41000123,1610612738,1610612752,3.0,-3.0,-103.0,-107.0
41000133,1610612753,1610612737,-1.5,1.5,-101.0,-109.0
41000153,1610612747,1610612740,-5.0,5.0,-105.0,-105.0
41000104,1610612741,1610612754,-4.5,4.5,-104.0,-106.0
41000143,1610612759,1610612763,2.0,-2.0,-110.0,-110.0
41000164,1610612742,1610612757,4.0,-4.0,-102.0,-108.0
41000173,1610612760,1610612743,5.0,-5.0,-102.0,-108.0
41000114,1610612748,1610612755,-5.5,5.5,-103.0,-107.0
41000124,1610612738,1610612752,-3.5,3.5,-101.0,-109.0
41000134,1610612753,1610612737,-1.5,1.5,-105.0,-105.0
41000154,1610612747,1610612740,-6.0,6.0,-102.0,-108.0
41000144,1610612759,1610612763,-1.0,1.0,-108.0,-102.0
41000165,1610612757,1610612742,5.0,-5.0,-104.0,-106.0
41000174,1610612760,1610612743,3.0,-3.0,-102.0,-108.0
41000105,1610612754,1610612741,9.0,-9.0,-105.0,-105.0
41000135,1610612737,1610612753,7.5,-7.5,-110.0,-110.0
41000155,1610612740,1610612747,9.5,-9.5,-102.0,-108.0
41000115,1610612755,1610612748,11.0,-11.0,-102.0,-108.0
41000145,1610612763,1610612759,7.0,-7.0,-105.0,-105.0
41000175,1610612743,1610612760,6.5,-6.5,-105.0,-105.0
41000136,1610612753,1610612737,-1.5,1.5,-105.0,-105.0
41000156,1610612747,1610612740,-5.0,5.0,-105.0,-105.0
41000166,1610612742,1610612757,4.0,-4.0,-107.0,-103.0
41000146,1610612759,1610612763,3.0,-3.0,-102.0,-108.0
41000211,1610612738,1610612748,5.0,-5.0,-106.0,-104.0
41000221,1610612763,1610612760,6.5,-6.5,-108.0,-102.0
41000201,1610612737,1610612741,9.5,-9.5,-105.0,-105.0
41000231,1610612742,1610612747,6.0,-6.0,-105.0,-105.0
41000212,1610612738,1610612748,5.0,-5.0,-102.0,-108.0
41000222,1610612763,1610612760,6.5,-6.5,-104.0,-106.0
41000202,1610612737,1610612741,9.0,-9.0,-103.0,-107.0
41000232,1610612742,1610612747,7.0,-7.0,-102.0,-108.0
41000203,1610612741,1610612737,-2.5,2.5,-105.0,-105.0
41000233,1610612747,1610612742,2.0,-2.0,-106.0,-104.0
41000213,1610612748,1610612738,3.0,-3.0,-101.0,-109.0
41000223,1610612760,1610612763,2.5,-2.5,-102.0,-108.0
41000204,1610612741,1610612737,-3.5,3.5,-106.0,-104.0
41000234,1610612747,1610612742,2.0,-2.0,-103.0,-107.0
41000214,1610612748,1610612738,-1.5,1.5,-102.0,-108.0
41000224,1610612760,1610612763,2.0,-2.0,-105.0,-105.0
41000205,1610612737,1610612741,8.5,-8.5,-106.0,-104.0
41000215,1610612738,1610612748,7.5,-7.5,-108.0,-102.0
41000225,1610612763,1610612760,6.0,-6.0,-105.0,-105.0
41000206,1610612741,1610612737,-3.5,3.5,-101.0,-109.0
41000226,1610612760,1610612763,1.5,-1.5,-105.0,-105.0
41000227,1610612763,1610612760,7.0,-7.0,-110.0,100.0
41000301,1610612748,1610612741,2.0,-2.0,-101.0,-109.0
41000311,1610612760,1610612742,6.0,-6.0,-108.0,-102.0
41000302,1610612748,1610612741,2.5,-2.5,-105.0,-105.0
41000312,1610612760,1610612742,5.0,-5.0,-103.0,-107.0
41000313,1610612742,1610612760,3.0,-3.0,-108.0,-102.0
